category,institution,quarter,quarter_end_date,stock_ticker,stock_company,action,value_change_usd_mn,pct_change,notes,timing_known
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,AMZN,Amazon,New Position,546.0,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,GOOG,Alphabet C,Added,499.1,684.0,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,SNDK,SanDisk,Reduced,-496.7,-99.4,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,MU,Micron,Reduced,-486.5,-90.2,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,NFLX,Netflix,Added,484.4,275718.1,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,AMD,AMD,Added,421.0,282.4,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,TSLA,Tesla,Added,388.7,425.8,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,AAPL,Apple,Reduced,-321.5,-48.4,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,STX,Seagate Technology,Added,319.7,47.3,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,LIN,Linde,Reduced,-309.6,-99.2,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,TXN,Texas Instruments,Added,252.7,64.7,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,STRL,Sterling Infrastructure,Reduced,251.9,-12.4,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,MDT,Medtronic,New Position,247.8,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,VRT,Vertiv,Reduced,-232.3,-96.8,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,CORT,Corcept Therapeutics,Reduced,228.4,-7.4,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,TJX,TJX Companies,Added,223.9,625.1,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,TSM,TSMC ADR,Added,213.6,49.5,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,COP,ConocoPhillips,New Position,210.3,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,SHEL,Shell,New Position,209.0,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,INTU,Intuit,New Position,199.7,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,SMCI,Super Micro Computer,Added,197.7,11323.6,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,NU,Nu Holdings,Reduced,-196.0,-82.6,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,CRDO,Credo Technology,Added,195.6,133.0,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,KGC,Kinross Gold,Reduced,-195.1,-3.1,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,AGX,Argan,Added,185.0,6.1,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,SCHW,Charles Schwab,New Position,176.3,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,APP,AppLovin,Exited,-173.7,-100,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,ADBE,Adobe,Reduced,-172.6,-72.4,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,MCK,McKesson,Added,171.4,208.0,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,SPY,SPDR S&P 500 ETF Trust,New Position,163.6,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,V,Visa,Reduced,-162.2,-81.8,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,UNH,UnitedHealth,Reduced,-160.9,-68.3,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,DELL,Dell Technologies,Reduced,160.6,-10.4,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,VALE,Vale,Reduced,-156.6,-68.3,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
13F Hedge Funds,Renaissance Technologies,Q2 2026,2026-06-30,ICE,Intercontinental Exchange,New Position,156.3,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-13
AI Core Holdings,Alphabet,Q2 2026,2026-06-30,SPCX,SpaceX,New Position,94176.2,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-07
AI Core Holdings,Alphabet,Q2 2026,2026-06-30,RVMD,Revolution Medicines,Reduced,231.6,-10.5,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-07
AI Core Holdings,Alphabet,Q2 2026,2026-06-30,PBLS,Parabilis Medicines,New Position,134.6,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-07
AI Core Holdings,Alphabet,Q2 2026,2026-06-30,FRVO,Fervo Energy,New Position,51.5,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-07
AI Core Holdings,Alphabet,Q2 2026,2026-06-30,LIFE,Ethos Technologies,Reduced,23.6,-3.9,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-07
AI Core Holdings,Alphabet,Q2 2026,2026-06-30,RLAY,Relay Therapeutics,Reduced,10.8,-9.9,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-07
AI Core Holdings,Alphabet,Q2 2026,2026-06-30,GLUE,Monte Rosa Therapeutics,Reduced,-2.2,-45.6,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-07
AI Core Holdings,Alphabet,Q2 2026,2026-06-30,TNYA,Tenaya Therapeutics,Exited,-0.6,-100,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-07
Core Smart Money,Berkshire Hathaway,Q2 2026,2026-06-30,GOOGL,Alphabet A,Added,12557.5,45.2,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Core Smart Money,Berkshire Hathaway,Q2 2026,2026-06-30,GOOG,Alphabet C,Added,8578.0,658.3,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Core Smart Money,Berkshire Hathaway,Q2 2026,2026-06-30,DAL,"Delta Air Lines, Inc",Added,2722.1,44.0,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Core Smart Money,Berkshire Hathaway,Q2 2026,2026-06-30,BAC,Bank of America,Reduced,2504.6,-5.9,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Core Smart Money,Berkshire Hathaway,Q2 2026,2026-06-30,DVA,Davita Inc,Reduced,1799.1,-4.1,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Core Smart Money,Berkshire Hathaway,Q2 2026,2026-06-30,KR,Kroger Co,Reduced,-1452.3,-22.0,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Core Smart Money,Berkshire Hathaway,Q2 2026,2026-06-30,COF,Capital One Financial Corp,Reduced,-702.5,-58.0,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Core Smart Money,Berkshire Hathaway,Q2 2026,2026-06-30,LEN,Lennar Corp,Added,309.4,29.8,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Core Smart Money,Berkshire Hathaway,Q2 2026,2026-06-30,NUE,Nucor Corp,Reduced,-246.9,-52.5,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Core Smart Money,Berkshire Hathaway,Q2 2026,2026-06-30,NYT,New York Times Co,Added,-169.5,3.7,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Core Smart Money,Berkshire Hathaway,Q2 2026,2026-06-30,M,Macy's,Added,118.1,141.8,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Core Smart Money,Berkshire Hathaway,Q2 2026,2026-06-30,ALLY,Ally Financial Inc,Reduced,103.0,-6.9,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Core Smart Money,Berkshire Hathaway,Q2 2026,2026-06-30,STZ,"Constellation Brands, Inc",Exited,-94.9,-100,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Core Smart Money,Berkshire Hathaway,Q2 2026,2026-06-30,LEN.B,Lennar B,Added,6.5,25.4,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Core Smart Money,Berkshire Hathaway,Q2 2026,2026-06-30,DHI,D.R. Horton,New Position,0.6,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,SPY,SPDR S&P 500 ETF Trust,Added,1134.4,21.9,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,IVV,iShares Core S&P 500 ETF,Added,498.4,12.1,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,AMZN,Amazon,Reduced,-431.3,-53.8,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,MU,Micron,Reduced,-363.9,-92.1,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,TSM,TSMC ADR,Reduced,-347.5,-96.8,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,GEV,GE Vernova,Reduced,-235.4,-71.8,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,VOO,Vanguard S&P 500 ETF,Added,220.0,189.0,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,MRVL,Marvell Technology,Reduced,-139.1,-90.7,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,MSFT,Microsoft,Reduced,-136.1,-34.4,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,ANET,"Arista Networks, Inc",Reduced,-120.1,-80.9,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,META,Meta Platforms,Reduced,-104.9,-62.3,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,GOOGL,Alphabet A,Reduced,-101.9,-33.8,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,PCG,PG&E Corp,Added,99.3,24078.9,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,SHEL,Shell,Added,89.3,388.9,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,ARM,ARM Holdings,Reduced,-88.0,-99.2,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,ES,Eversource Energy,New Position,86.4,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,GOOG,Alphabet C,Reduced,-84.8,-80.8,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,VRT,Vertiv,Reduced,-83.9,-83.5,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,ALAB,Astera Labs,Reduced,-81.8,-99.9,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,EIX,Edison International,Added,81.6,777.1,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,PBR,Petrobras,Added,81.6,466.9,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,TSEM,Tower Semiconductor Ltd,Reduced,-79.1,-98.3,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,APP,AppLovin,New Position,75.5,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,LRCX,Lam Research,Reduced,70.9,-40.3,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,AMKR,"Amkor Technology, Inc",Reduced,-70.6,-99.5,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,MPC,Marathon Petroleum Corp,Added,70.4,351.9,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,AVGO,Broadcom,Reduced,-70.2,-28.2,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,ED,Consolidated Edison Inc,New Position,69.0,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,EOG,Eog Resources Inc,Added,68.2,4190.7,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,NI,Nisource Inc,New Position,67.0,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,VST,Vistra Corp,Added,66.8,115.7,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,SNPS,Synopsys Inc,Reduced,-64.7,-80.7,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,STX,Seagate Technology,Reduced,63.9,-39.3,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,CSCO,Cisco Systems,Exited,-63.8,-100,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,ADI,Analog Devices Inc,Added,63.2,269.0,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,NOW,"ServiceNow, Inc",New Position,63.1,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,ISHARES INC,Ishares Inc,Reduced,62.3,-21.6,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,KLAC,KLA Corporation,Added,-61.0,201.9,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,DUK,Duke Energy,New Position,56.0,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Bridgewater Associates,Q2 2026,2026-06-30,HAL,Halliburton Co,Added,52.9,5441.4,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,MU,Micron,Added,28596.4,7.6,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,QQQ,Invesco QQQ Trust,Added,18235.2,23.3,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,SNDK,SanDisk,Added,18019.7,48.0,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,SPY,SPDR S&P 500 ETF Trust,Added,17258.8,22.9,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,AMD,AMD,Added,13737.9,21.4,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,VANECK ETF TRUST,Vaneck Etf Trust,Added,13132.9,186.0,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,IVV,iShares Core S&P 500 ETF,Added,10523.8,302.2,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,GLD,Spdr Gold Trust,Reduced,-6921.5,-37.7,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,INTC,Intel,Added,5891.9,8.1,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,MSFT,Microsoft,Added,5517.6,45.2,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,MRVL,Marvell Technology,Added,4513.2,97.3,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,WDC,Western Digital,Added,4012.9,49.8,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,STX,Seagate Technology,Added,3680.3,55.0,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,ISHARES TR,Ishares Tr,Added,3533.1,14.4,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,AAPL,Apple,Added,3333.3,8.5,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,SPCX,SpaceX,New Position,3265.0,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,TSM,TSMC ADR,Added,3251.2,13.5,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,AMAT,Applied Materials,Added,3240.7,53.4,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,LLY,Eli Lilly,Added,2948.2,46.0,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,SLV,iShares Silver Trust,Reduced,-2859.8,-40.8,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,CAT,Caterpillar,Added,2794.0,33.1,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,GOOGL,Alphabet A,Added,2604.2,1.1,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,DIREXION SHARES ETF TRUS,Direxion Shares Etf Trust,Reduced,2589.5,-6.4,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,LRCX,Lam Research,Added,2586.8,45.5,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,NBIS,Nebius Group N.V,Added,2529.0,90.6,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,DELL,Dell Technologies,Added,2484.6,4.7,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,CRWD,CrowdStrike,Added,2403.7,15.8,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,GOOG,Alphabet C,Added,2401.5,15.6,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,KLAC,KLA Corporation,Added,2300.8,2646.3,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,ISHARES INC,Ishares Inc,Added,2210.6,168.8,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,ARM,ARM Holdings,Added,2143.7,35.2,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,BE,Bloom Energy Corp,Added,2001.7,34.0,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,PANW,Palo Alto Networks,Added,1759.6,20.6,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,ASML,ASML Holding,Added,1752.2,0.8,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,PLTR,Palantir,Reduced,-1745.0,-16.7,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,ROUNDHILL ETF TRUST,Roundhill Etf Trust,New Position,1736.4,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,NFLX,Netflix,Added,-1640.9,1.6,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,ALAB,Astera Labs,Added,1628.9,68.8,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,AMZN,Amazon,Reduced,1506.8,-0.4,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Citadel Advisors,Q2 2026,2026-06-30,ISHARES TR,Ishares Tr,Added,1471.8,291.5,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,DE Shaw,Q2 2026,2026-06-30,SPY,SPDR S&P 500 ETF Trust,Added,9405.7,752.5,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,DE Shaw,Q2 2026,2026-06-30,AMD,AMD,Reduced,1949.1,-19.0,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,DE Shaw,Q2 2026,2026-06-30,QQQ,Invesco QQQ Trust,Added,1925.1,326.9,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,DE Shaw,Q2 2026,2026-06-30,AMZN,Amazon,Added,1675.5,74.8,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,DE Shaw,Q2 2026,2026-06-30,NVDA,Nvidia,Added,1442.0,19.9,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,DE Shaw,Q2 2026,2026-06-30,MU,Micron,Reduced,1112.6,-54.2,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,DE Shaw,Q2 2026,2026-06-30,BE,Bloom Energy Corp,Added,1107.1,0.1,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,DE Shaw,Q2 2026,2026-06-30,WESTERN DIGITAL CORP,Western Digital Corp,Exited,-1092.8,-100,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,DE Shaw,Q2 2026,2026-06-30,STX,Seagate Technology,Added,1091.3,3.1,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,DE Shaw,Q2 2026,2026-06-30,TSM,TSMC ADR,Reduced,-1047.9,-80.8,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,DE Shaw,Q2 2026,2026-06-30,AVGO,Broadcom,Reduced,-1031.9,-52.9,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,DE Shaw,Q2 2026,2026-06-30,CRWD,CrowdStrike,Added,1007.3,6.5,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,DE Shaw,Q2 2026,2026-06-30,MRVL,Marvell Technology,Added,981.1,83.2,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,DE Shaw,Q2 2026,2026-06-30,GOOG,Alphabet C,Added,945.5,19.5,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,DE Shaw,Q2 2026,2026-06-30,SPCX,SpaceX,New Position,912.4,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,DE Shaw,Q2 2026,2026-06-30,MSFT,Microsoft,Reduced,-910.4,-30.8,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
